comment,case_folding,cleaning,normalisasi,tokenisasi,stopword_removal,stemming,score,sentiment_label,sentiment_encoded
"Mending kalu kalian punya e banking yang lama jangan di hapus dulu, pakek 2 nya aja, biasanya beyond sering bermasalah darpada e banking yang lama","mending kalu kalian punya e banking yang lama jangan di hapus dulu, pakek 2 nya aja, biasanya beyond sering bermasalah darpada e banking yang lama",mending kalu kalian punya e banking yang lama jangan di hapus dulu pakek  nya aja biasanya beyond sering bermasalah darpada e banking yang lama,mending kalau kalian punya e banking yang lama jangan di hapus dulu pakai ya saja biasanya beyond sering bermasalah daripada e banking yang lama,"['mending', 'kalau', 'kalian', 'punya', 'e', 'banking', 'yang', 'lama', 'jangan', 'di', 'hapus', 'dulu', 'pakai', 'ya', 'saja', 'biasanya', 'beyond', 'sering', 'bermasalah', 'daripada', 'e', 'banking', 'yang', 'lama']","['mending', 'banking', 'hapus', 'pakai', 'beyond', 'bermasalah', 'banking']","['mending', 'banking', 'hapus', 'pakai', 'beyond', 'masalah', 'banking']",-2,Negatif,0
ia bg aku ada Kean tf uang tapi uang nya tidak masuk ke rek aku,ia bg aku ada kean tf uang tapi uang nya tidak masuk ke rek aku,ia bg aku ada kean tf uang tapi uang nya tidak masuk ke rek aku,ia bug akun ada kean transfer uang tapi uang ya tidak masuk ke rekening akun,"['ia', 'bug', 'akun', 'ada', 'kean', 'transfer', 'uang', 'tapi', 'uang', 'ya', 'tidak', 'masuk', 'ke', 'rekening', 'akun']","['bug', 'akun', 'kean', 'transfer', 'uang', 'uang', 'tidak', 'masuk', 'rekening', 'akun']","['bug', 'akun', 'kean', 'transfer', 'uang', 'uang', 'tidak', 'masuk', 'rekening', 'akun']",-2,Negatif,0
"transaksi gagal tapi saldonya masuk ke nomor rek tujuan tapi gak ada buktinya berhasil,,untung saja kawan saya dia bilang udh masuk, tapi di hp saya masih gagal,,ada² aja ne BYOND untung aja orangnya jujur kalau GK 1 juta 500 melayang terbang ke udara..","transaksi gagal tapi saldonya masuk ke nomor rek tujuan tapi gak ada buktinya berhasil,,untung saja kawan saya dia bilang udh masuk, tapi di hp saya masih gagal,,ada² aja ne byond untung aja orangnya jujur kalau gk 1 juta 500 melayang terbang ke udara..",transaksi gagal tapi saldonya masuk ke nomor rek tujuan tapi gak ada buktinya berhasiluntung saja kawan saya dia bilang udh masuk tapi di hp saya masih gagalada aja ne byond untung aja orangnya jujur kalau gk  juta  melayang terbang ke udara,transaksi gagal tapi saldonya masuk ke nomor rekening tujuan tapi tidak ada buktinya berhasiluntung saja kawan saya dia bilang sudah masuk tapi di hp saya masih gagalada saja ini byond untung saja orangnya jujur kalau tidak juta melayang terbang ke udara,"['transaksi', 'gagal', 'tapi', 'saldonya', 'masuk', 'ke', 'nomor', 'rekening', 'tujuan', 'tapi', 'tidak', 'ada', 'buktinya', 'berhasiluntung', 'saja', 'kawan', 'saya', 'dia', 'bilang', 'sudah', 'masuk', 'tapi', 'di', 'hp', 'saya', 'masih', 'gagalada', 'saja', 'ini', 'byond', 'untung', 'saja', 'orangnya', 'jujur', 'kalau', 'tidak', 'juta', 'melayang', 'terbang', 'ke', 'udara']","['transaksi', 'gagal', 'saldonya', 'masuk', 'nomor', 'rekening', 'tujuan', 'tidak', 'buktinya', 'berhasiluntung', 'kawan', 'bilang', 'masuk', 'gagalada', 'untung', 'orangnya', 'jujur', 'tidak', 'juta', 'melayang', 'terbang', 'udara']","['transaksi', 'gagal', 'saldo', 'masuk', 'nomor', 'rekening', 'tuju', 'tidak', 'bukti', 'berhasiluntung', 'kawan', 'bilang', 'masuk', 'gagalada', 'untung', 'orang', 'jujur', 'tidak', 'juta', 'layang', 'terbang', 'udara']",-4,Negatif,0
"ayah kuu,krm uang dari danaa kebyond
tp ga msokk,pdahal udh jelas""terkirim,udh ada struknyaa
tp dibyond nya gda masok","ayah kuu,krm uang dari danaa kebyond
tp ga msokk,pdahal udh jelas""terkirim,udh ada struknyaa
tp dibyond nya gda masok","ayah kuukrm uang dari danaa kebyond
tp ga msokkpdahal udh jelasterkirimudh ada struknyaa
tp dibyond nya gda masok",ayah kuukrm uang dari danaa kebyond otp tidak msokkpdahal sudah jelasterkirimudh ada struknyaa otp dibyond ya tidak ada masok,"['ayah', 'kuukrm', 'uang', 'dari', 'danaa', 'kebyond', 'otp', 'tidak', 'msokkpdahal', 'sudah', 'jelasterkirimudh', 'ada', 'struknyaa', 'otp', 'dibyond', 'ya', 'tidak', 'ada', 'masok']","['ayah', 'kuukrm', 'uang', 'danaa', 'kebyond', 'otp', 'tidak', 'msokkpdahal', 'jelasterkirimudh', 'struknyaa', 'otp', 'dibyond', 'tidak', 'masok']","['ayah', 'kuukrm', 'uang', 'danaa', 'kebyond', 'otp', 'tidak', 'msokkpdahal', 'jelasterkirimudh', 'struknyaa', 'otp', 'dibyond', 'tidak', 'masok']",-2,Negatif,0
"bukan d langsa saja,, tp d banda aceh jg","bukan d langsa saja,, tp d banda aceh jg",bukan d langsa saja tp d banda aceh jg,bukan di langsa saja otp di banda aceh juga,"['bukan', 'di', 'langsa', 'saja', 'otp', 'di', 'banda', 'aceh', 'juga']","['bukan', 'langsa', 'otp', 'banda', 'aceh']","['bukan', 'langsa', 'otp', 'banda', 'aceh']",-1,Negatif,0
ya sama saya di ATM Danamon kejadian tanggl 2 kemrin TPI udh laporan,ya sama saya di atm danamon kejadian tanggl 2 kemrin tpi udh laporan,ya sama saya di atm danamon kejadian tanggl  kemrin tpi udh laporan,ya sama saya di atm danamon kejadian tanggl kemrin tapi sudah laporan,"['ya', 'sama', 'saya', 'di', 'atm', 'danamon', 'kejadian', 'tanggl', 'kemrin', 'tapi', 'sudah', 'laporan']","['atm', 'danamon', 'kejadian', 'tanggl', 'kemrin', 'laporan']","['atm', 'danamon', 'jadi', 'tanggl', 'kemrin', 'lapor']",1,Positif,1
Nan sagai Bank Syariah. 11 12 chit ngon konven. mangat bak konven aju lagèe BCA,nan sagai bank syariah. 11 12 chit ngon konven. mangat bak konven aju lagèe bca,nan sagai bank syariah   chit ngon konven mangat bak konven aju lage bca,nan sagai bank syariah chit ngon konven mangat bank konven aju lage baca,"['nan', 'sagai', 'bank', 'syariah', 'chit', 'ngon', 'konven', 'mangat', 'bank', 'konven', 'aju', 'lage', 'baca']","['nan', 'sagai', 'syariah', 'chit', 'ngon', 'konven', 'mangat', 'konven', 'aju', 'lage', 'baca']","['nan', 'sagai', 'syariah', 'chit', 'ngon', 'konven', 'mangat', 'konven', 'aju', 'lage', 'baca']",-1,Negatif,0
demi apa saya cek brusan dipotong 200k lbih?,demi apa saya cek brusan dipotong 200k lbih?,demi apa saya cek brusan dipotong k lbih,demi apa saya cek brusan dipotong ke lebih,"['demi', 'apa', 'saya', 'cek', 'brusan', 'dipotong', 'ke', 'lebih']","['cek', 'brusan', 'dipotong']","['cek', 'brusan', 'potong']",-2,Negatif,0
saya hari ini jg mengalami kendala...TF gagal tapi saldo berkurang...buat laporan lama sekali prosesnya harus tunggu 5-10 hari kerja,saya hari ini jg mengalami kendala...tf gagal tapi saldo berkurang...buat laporan lama sekali prosesnya harus tunggu 5-10 hari kerja,saya hari ini jg mengalami kendalatf gagal tapi saldo berkurangbuat laporan lama sekali prosesnya harus tunggu  hari kerja,saya hari ini juga mengalami kendalatf gagal tapi saldo berkurangbuat laporan lama sekali prosesnya harus tunggu hari kerja,"['saya', 'hari', 'ini', 'juga', 'mengalami', 'kendalatf', 'gagal', 'tapi', 'saldo', 'berkurangbuat', 'laporan', 'lama', 'sekali', 'prosesnya', 'harus', 'tunggu', 'hari', 'kerja']","['mengalami', 'kendalatf', 'gagal', 'saldo', 'berkurangbuat', 'laporan', 'prosesnya', 'tunggu', 'kerja']","['alami', 'kendalatf', 'gagal', 'saldo', 'berkurangbuat', 'lapor', 'proses', 'tunggu', 'kerja']",2,Positif,1
"kemarin suamiku transfer uang 16jt +pas mau ku ambil saldo 0 rupiah ,kaget bget , akhirnya setelah di cek kembali bermasalah di bank katanya","kemarin suamiku transfer uang 16jt +pas mau ku ambil saldo 0 rupiah ,kaget bget , akhirnya setelah di cek kembali bermasalah di bank katanya",kemarin suamiku transfer uang jt pas mau ku ambil saldo  rupiah kaget bget  akhirnya setelah di cek kembali bermasalah di bank katanya,kemarin suamiku transfer uang juta pas mau ku ambil saldo rupiah kaget banget akhirnya setelah di cek kembali bermasalah di bank katanya,"['kemarin', 'suamiku', 'transfer', 'uang', 'juta', 'pas', 'mau', 'ku', 'ambil', 'saldo', 'rupiah', 'kaget', 'banget', 'akhirnya', 'setelah', 'di', 'cek', 'kembali', 'bermasalah', 'di', 'bank', 'katanya']","['kemarin', 'suamiku', 'transfer', 'uang', 'juta', 'pas', 'ambil', 'saldo', 'rupiah', 'kaget', 'banget', 'cek', 'bermasalah']","['kemarin', 'suami', 'transfer', 'uang', 'juta', 'pas', 'ambil', 'saldo', 'rupiah', 'kaget', 'banget', 'cek', 'masalah']",1,Positif,1
Byond sangat susah dan bermasalah,byond sangat susah dan bermasalah,byond sangat susah dan bermasalah,byond sangat sulit dan bermasalah,"['byond', 'sangat', 'sulit', 'dan', 'bermasalah']","['sulit', 'bermasalah']","['sulit', 'masalah']",-1,Negatif,0
aku dari bca transper ke BSI masuk ko om ga masalah,aku dari bca transper ke bsi masuk ko om ga masalah,aku dari bca transper ke bsi masuk ko om ga masalah,akun dari baca transper ke bsi masuk kok om tidak masalah,"['akun', 'dari', 'baca', 'transper', 'ke', 'bsi', 'masuk', 'kok', 'om', 'tidak', 'masalah']","['akun', 'baca', 'transper', 'masuk', 'tidak', 'masalah']","['akun', 'baca', 'transper', 'masuk', 'tidak', 'masalah']",-3,Negatif,0
kak langsung ke cs aja. di proses ko alhamdulillah saya sudah masuk,kak langsung ke cs aja. di proses ko alhamdulillah saya sudah masuk,kak langsung ke cs aja di proses ko alhamdulillah saya sudah masuk,kak langsung ke layanan pelanggan saja di proses kok alhamdulillah saya sudah masuk,"['kak', 'langsung', 'ke', 'layanan', 'pelanggan', 'saja', 'di', 'proses', 'kok', 'alhamdulillah', 'saya', 'sudah', 'masuk']","['langsung', 'layanan', 'pelanggan', 'proses', 'alhamdulillah', 'masuk']","['langsung', 'layan', 'langgan', 'proses', 'alhamdulillah', 'masuk']",3,Positif,1
benar BSI kurang pelayanan terutama dibidang aplikasi m banking,benar bsi kurang pelayanan terutama dibidang aplikasi m banking,benar bsi kurang pelayanan terutama dibidang aplikasi m banking,benar bsi kurang pelayanan terutama dibidang aplikasi sama banking,"['benar', 'bsi', 'kurang', 'pelayanan', 'terutama', 'dibidang', 'aplikasi', 'sama', 'banking']","['kurang', 'pelayanan', 'dibidang', 'aplikasi', 'banking']","['kurang', 'layan', 'bidang', 'aplikasi', 'banking']",-2,Negatif,0
"saya juga..ada cust TF tgl 1 Sept dr BCA ke BSI saya, baru masuk hari ini..nyangkut 2x24 jam..kata pihak BSI ada mslh dng Bi Fast nya, tp wallahualam lah..","saya juga..ada cust tf tgl 1 sept dr bca ke bsi saya, baru masuk hari ini..nyangkut 2x24 jam..kata pihak bsi ada mslh dng bi fast nya, tp wallahualam lah..",saya jugaada cust tf tgl  sept dr bca ke bsi saya baru masuk hari ininyangkut x jamkata pihak bsi ada mslh dng bi fast nya tp wallahualam lah,saya jugaada cust transfer tanggal sept dari baca ke bsi saya baru masuk hari ininyangkut kali jamkata pihak bsi ada masalah dengan bi fast ya otp wallahualam lah,"['saya', 'jugaada', 'cust', 'transfer', 'tanggal', 'sept', 'dari', 'baca', 'ke', 'bsi', 'saya', 'baru', 'masuk', 'hari', 'ininyangkut', 'kali', 'jamkata', 'pihak', 'bsi', 'ada', 'masalah', 'dengan', 'bi', 'fast', 'ya', 'otp', 'wallahualam', 'lah']","['jugaada', 'cust', 'transfer', 'tanggal', 'sept', 'baca', 'masuk', 'ininyangkut', 'kali', 'jamkata', 'masalah', 'fast', 'otp', 'wallahualam']","['jugaada', 'cust', 'transfer', 'tanggal', 'sept', 'baca', 'masuk', 'ininyangkut', 'kali', 'jamkata', 'masalah', 'fast', 'otp', 'wallahualam']",-3,Negatif,0
plis abis tf gagal tapi saldo terpotong,plis abis tf gagal tapi saldo terpotong,plis abis tf gagal tapi saldo terpotong,plis bisa transfer gagal tapi saldo terpotong,"['plis', 'bisa', 'transfer', 'gagal', 'tapi', 'saldo', 'terpotong']","['plis', 'transfer', 'gagal', 'saldo', 'terpotong']","['plis', 'transfer', 'gagal', 'saldo', 'potong']",-1,Negatif,0
sy tdk mau lg menabung di bank,sy tdk mau lg menabung di bank,sy tdk mau lg menabung di bank,saya tidak mau masuk menabung di bank,"['saya', 'tidak', 'mau', 'masuk', 'menabung', 'di', 'bank']","['tidak', 'masuk', 'menabung']","['tidak', 'masuk', 'tabung']",-1,Negatif,0
skrg pake nya Byond yg saya tau. mmg wkt itu per bln apa lupa yaa nasabah mmg hrs buat aplikasi Byond 🙏,skrg pake nya byond yg saya tau. mmg wkt itu per bln apa lupa yaa nasabah mmg hrs buat aplikasi byond 🙏,skrg pake nya byond yg saya tau mmg wkt itu per bln apa lupa yaa nasabah mmg hrs buat aplikasi byond ,sekarang pakai ya byond yang saya tau memang waktu itu per bulan apa lupa ya nasabah memang harus buat aplikasi byond,"['sekarang', 'pakai', 'ya', 'byond', 'yang', 'saya', 'tau', 'memang', 'waktu', 'itu', 'per', 'bulan', 'apa', 'lupa', 'ya', 'nasabah', 'memang', 'harus', 'buat', 'aplikasi', 'byond']","['pakai', 'tau', 'lupa', 'nasabah', 'aplikasi']","['pakai', 'tau', 'lupa', 'nasabah', 'aplikasi']",-1,Negatif,0
saya dari dulu pakai BSI ..Alhamdulillah amannn,saya dari dulu pakai bsi ..alhamdulillah amannn,saya dari dulu pakai bsi alhamdulillah amannn,saya dari dulu pakai bsi alhamdulillah aman,"['saya', 'dari', 'dulu', 'pakai', 'bsi', 'alhamdulillah', 'aman']","['pakai', 'alhamdulillah', 'aman']","['pakai', 'alhamdulillah', 'aman']",1,Positif,1
maaf saya juga ada tranferan dari bang BRI masuk kok,maaf saya juga ada tranferan dari bang bri masuk kok,maaf saya juga ada tranferan dari bang bri masuk kok,maaf saya juga ada tranferan dari abang bri masuk kok,"['maaf', 'saya', 'juga', 'ada', 'tranferan', 'dari', 'abang', 'bri', 'masuk', 'kok']","['tranferan', 'abang', 'bri', 'masuk']","['tranferan', 'abang', 'bri', 'masuk']",-1,Negatif,0
itu BRI nya yg error,itu bri nya yg error,itu bri nya yg error,itu bri ya yang error,"['itu', 'bri', 'ya', 'yang', 'error']","['bri', 'error']","['bri', 'error']",-1,Negatif,0
wih ini saya gak bisa masuk ada apa ni,wih ini saya gak bisa masuk ada apa ni,wih ini saya gak bisa masuk ada apa ni,wih ini saya tidak bisa masuk ada apa nih,"['wih', 'ini', 'saya', 'tidak', 'bisa', 'masuk', 'ada', 'apa', 'nih']","['wih', 'tidak', 'masuk', 'nih']","['wih', 'tidak', 'masuk', 'nih']",-2,Negatif,0
"gimana dgn tabungan BSI pak
saya nabung buat Haji trasfer tiap bulan","gimana dgn tabungan bsi pak
saya nabung buat haji trasfer tiap bulan","gimana dgn tabungan bsi pak
saya nabung buat haji trasfer tiap bulan",bagaimana dengan tabungan bsi pak saya nabung buat haji transfer tiap bulan,"['bagaimana', 'dengan', 'tabungan', 'bsi', 'pak', 'saya', 'nabung', 'buat', 'haji', 'transfer', 'tiap', 'bulan']","['tabungan', 'nabung', 'haji', 'transfer']","['tabung', 'nabung', 'haji', 'transfer']",1,Positif,1
Semoga bank Muhammadyah segera meluncur ke daerah2,semoga bank muhammadyah segera meluncur ke daerah2,semoga bank muhammadyah segera meluncur ke daerah,semoga bank muhammadyah segera meluncur ke daerah,"['semoga', 'bank', 'muhammadyah', 'segera', 'meluncur', 'ke', 'daerah']","['semoga', 'muhammadyah', 'meluncur', 'daerah']","['moga', 'muhammadyah', 'luncur', 'daerah']",1,Positif,1
"kemarin memang sedang ada masalah, saya juga gak bisa, setelah sore baru bisa lagi","kemarin memang sedang ada masalah, saya juga gak bisa, setelah sore baru bisa lagi",kemarin memang sedang ada masalah saya juga gak bisa setelah sore baru bisa lagi,kemarin memang sedang ada masalah saya juga tidak bisa setelah sore baru bisa lagi,"['kemarin', 'memang', 'sedang', 'ada', 'masalah', 'saya', 'juga', 'tidak', 'bisa', 'setelah', 'sore', 'baru', 'bisa', 'lagi']","['kemarin', 'masalah', 'tidak', 'sore']","['kemarin', 'masalah', 'tidak', 'sore']",-2,Negatif,0
"bukan Bsi aja bg,sy kemaren di kirim dari BCA ke BRI udah 5 hari baru masuk bg.sedangkan dr pengirim sudah sukses sedangkan SM saya penerima gak masuk2.akhir nya sm2 ke bank masing2 di suruh menunggu sampai masuk.akhirnya 5 hari baru masuk.","bukan bsi aja bg,sy kemaren di kirim dari bca ke bri udah 5 hari baru masuk bg.sedangkan dr pengirim sudah sukses sedangkan sm saya penerima gak masuk2.akhir nya sm2 ke bank masing2 di suruh menunggu sampai masuk.akhirnya 5 hari baru masuk.",bukan bsi aja bgsy kemaren di kirim dari bca ke bri udah  hari baru masuk bgsedangkan dr pengirim sudah sukses sedangkan sm saya penerima gak masukakhir nya sm ke bank masing di suruh menunggu sampai masukakhirnya  hari baru masuk,bukan bsi saja bgsy kemarin di kirim dari baca ke bri sudah hari baru masuk bgsedangkan dari pengirim sudah sukses sedangkan sama saya penerima tidak masukakhir ya sama ke bank masing di suruh menunggu sampai masukakhirnya hari baru masuk,"['bukan', 'bsi', 'saja', 'bgsy', 'kemarin', 'di', 'kirim', 'dari', 'baca', 'ke', 'bri', 'sudah', 'hari', 'baru', 'masuk', 'bgsedangkan', 'dari', 'pengirim', 'sudah', 'sukses', 'sedangkan', 'sama', 'saya', 'penerima', 'tidak', 'masukakhir', 'ya', 'sama', 'ke', 'bank', 'masing', 'di', 'suruh', 'menunggu', 'sampai', 'masukakhirnya', 'hari', 'baru', 'masuk']","['bukan', 'bgsy', 'kemarin', 'kirim', 'baca', 'bri', 'masuk', 'bgsedangkan', 'pengirim', 'sukses', 'penerima', 'tidak', 'masukakhir', 'suruh', 'menunggu', 'masukakhirnya', 'masuk']","['bukan', 'bgsy', 'kemarin', 'kirim', 'baca', 'bri', 'masuk', 'bgsedangkan', 'kirim', 'sukses', 'terima', 'tidak', 'masukakhir', 'suruh', 'tunggu', 'masukakhirnya', 'masuk']",-1,Negatif,0
"Alhamdulillah suami TF dari bank mandiri berhasil. tapi keesokkan harinya saya tarik dari ATM BSI jawabannya, danom tidak tersedia.","alhamdulillah suami tf dari bank mandiri berhasil. tapi keesokkan harinya saya tarik dari atm bsi jawabannya, danom tidak tersedia.",alhamdulillah suami tf dari bank mandiri berhasil tapi keesokkan harinya saya tarik dari atm bsi jawabannya danom tidak tersedia,alhamdulillah suami transfer dari bank mandiri berhasil tapi keesokkan harinya saya tarik dari atm bsi jawabannya danom tidak tersedia,"['alhamdulillah', 'suami', 'transfer', 'dari', 'bank', 'mandiri', 'berhasil', 'tapi', 'keesokkan', 'harinya', 'saya', 'tarik', 'dari', 'atm', 'bsi', 'jawabannya', 'danom', 'tidak', 'tersedia']","['alhamdulillah', 'suami', 'transfer', 'mandiri', 'berhasil', 'keesokkan', 'harinya', 'tarik', 'atm', 'jawabannya', 'danom', 'tidak', 'tersedia']","['alhamdulillah', 'suami', 'transfer', 'mandiri', 'hasil', 'esok', 'hari', 'tarik', 'atm', 'jawab', 'danom', 'tidak', 'sedia']",2,Positif,1
"sy pakai aplikasi yg lama, Alhamdulillah malah lancar aman klo pake aplikasi beyond kdg suka ngadat², loadingnya lamaa bgt","sy pakai aplikasi yg lama, alhamdulillah malah lancar aman klo pake aplikasi beyond kdg suka ngadat², loadingnya lamaa bgt",sy pakai aplikasi yg lama alhamdulillah malah lancar aman klo pake aplikasi beyond kdg suka ngadat loadingnya lamaa bgt,saya pakai aplikasi yang lama alhamdulillah malah lancar aman kalau pakai aplikasi beyond kadang suka ngadat loadingnya lamaa banget,"['saya', 'pakai', 'aplikasi', 'yang', 'lama', 'alhamdulillah', 'malah', 'lancar', 'aman', 'kalau', 'pakai', 'aplikasi', 'beyond', 'kadang', 'suka', 'ngadat', 'loadingnya', 'lamaa', 'banget']","['pakai', 'aplikasi', 'alhamdulillah', 'lancar', 'aman', 'pakai', 'aplikasi', 'beyond', 'kadang', 'suka', 'ngadat', 'loadingnya', 'lamaa', 'banget']","['pakai', 'aplikasi', 'alhamdulillah', 'lancar', 'aman', 'pakai', 'aplikasi', 'beyond', 'kadang', 'suka', 'ngadat', 'loadingnya', 'lamaa', 'banget']",1,Positif,1
"bsi bank besar error mulu😁
lama2 tutup juga nih rek..","bsi bank besar error mulu😁
lama2 tutup juga nih rek..","bsi bank besar error mulu
lama tutup juga nih rek",bsi bank besar error mulu lama tutup juga nih rekening,"['bsi', 'bank', 'besar', 'error', 'mulu', 'lama', 'tutup', 'juga', 'nih', 'rekening']","['error', 'mulu', 'tutup', 'nih', 'rekening']","['error', 'mulu', 'tutup', 'nih', 'rekening']",-2,Negatif,0
Bank BNI juga bermasalah. Anakku 2 hari yg lalu tarik uang di ATM BNI uangnya gak keluar tapi saldo berkurang,bank bni juga bermasalah. anakku 2 hari yg lalu tarik uang di atm bni uangnya gak keluar tapi saldo berkurang,bank bni juga bermasalah anakku  hari yg lalu tarik uang di atm bni uangnya gak keluar tapi saldo berkurang,bank bni juga bermasalah anakku hari yang lalu tarik uang di atm bni uangnya tidak keluar tapi saldo berkurang,"['bank', 'bni', 'juga', 'bermasalah', 'anakku', 'hari', 'yang', 'lalu', 'tarik', 'uang', 'di', 'atm', 'bni', 'uangnya', 'tidak', 'keluar', 'tapi', 'saldo', 'berkurang']","['bni', 'bermasalah', 'anakku', 'tarik', 'uang', 'atm', 'bni', 'uangnya', 'tidak', 'saldo', 'berkurang']","['bni', 'masalah', 'anak', 'tarik', 'uang', 'atm', 'bni', 'uang', 'tidak', 'saldo', 'kurang']",-2,Negatif,0
sampe skrg saldo belum sampe juga padahal tf dr bca udah berhasil,sampe skrg saldo belum sampe juga padahal tf dr bca udah berhasil,sampe skrg saldo belum sampe juga padahal tf dr bca udah berhasil,sampai sekarang saldo belum sampai juga padahal transfer dari baca sudah berhasil,"['sampai', 'sekarang', 'saldo', 'belum', 'sampai', 'juga', 'padahal', 'transfer', 'dari', 'baca', 'sudah', 'berhasil']","['saldo', 'transfer', 'baca', 'berhasil']","['saldo', 'transfer', 'baca', 'hasil']",2,Positif,1
bubarkan aja bsi ini hampir 6 bln sekali eror,bubarkan aja bsi ini hampir 6 bln sekali eror,bubarkan aja bsi ini hampir  bln sekali eror,bubarkan saja bsi ini hampir bulan sekali error,"['bubarkan', 'saja', 'bsi', 'ini', 'hampir', 'bulan', 'sekali', 'error']","['bubarkan', 'error']","['bubar', 'error']",-1,Negatif,0
"selesai urusan sama unimal, gak akan kupakek lagi BSI ini, sekelas bank kok sering bermasalah","selesai urusan sama unimal, gak akan kupakek lagi bsi ini, sekelas bank kok sering bermasalah",selesai urusan sama unimal gak akan kupakek lagi bsi ini sekelas bank kok sering bermasalah,selesai urusan sama unimal tidak akan kupakek lagi bsi ini sekelas bank kok sering bermasalah,"['selesai', 'urusan', 'sama', 'unimal', 'tidak', 'akan', 'kupakek', 'lagi', 'bsi', 'ini', 'sekelas', 'bank', 'kok', 'sering', 'bermasalah']","['selesai', 'urusan', 'unimal', 'tidak', 'kupakek', 'sekelas', 'bermasalah']","['selesai', 'urus', 'unimal', 'tidak', 'kupakek', 'kelas', 'masalah']",-3,Negatif,0
terimakasih infonya mas,terimakasih infonya mas,terimakasih infonya mas,terimakasih infonya mas,"['terimakasih', 'infonya', 'mas']","['infonya', 'mas']","['info', 'mas']",-1,Negatif,0
tlp aj cs bank BSI nya dulu,tlp aj cs bank bsi nya dulu,tlp aj cs bank bsi nya dulu,telepon saja layanan pelanggan bank bsi ya dulu,"['telepon', 'saja', 'layanan', 'pelanggan', 'bank', 'bsi', 'ya', 'dulu']","['telepon', 'layanan', 'pelanggan']","['telepon', 'layan', 'langgan']",1,Positif,1
Alhamdulillah aku belum ada masalah selama jadi nasabah BSI selama ini,alhamdulillah aku belum ada masalah selama jadi nasabah bsi selama ini,alhamdulillah aku belum ada masalah selama jadi nasabah bsi selama ini,alhamdulillah akun belum ada masalah selama jadi nasabah bsi selama ini,"['alhamdulillah', 'akun', 'belum', 'ada', 'masalah', 'selama', 'jadi', 'nasabah', 'bsi', 'selama', 'ini']","['alhamdulillah', 'akun', 'masalah', 'nasabah']","['alhamdulillah', 'akun', 'masalah', 'nasabah']",1,Positif,1
"saya kiriman dari Malaysia ke BSI,kemaren g bisa alhmdulillah tadi malam udah bisa..","saya kiriman dari malaysia ke bsi,kemaren g bisa alhmdulillah tadi malam udah bisa..",saya kiriman dari malaysia ke bsikemaren g bisa alhmdulillah tadi malam udah bisa,saya kiriman dari malaysia ke bsikemaren tidak bisa alhmdulillah tadi malam sudah bisa,"['saya', 'kiriman', 'dari', 'malaysia', 'ke', 'bsikemaren', 'tidak', 'bisa', 'alhmdulillah', 'tadi', 'malam', 'sudah', 'bisa']","['kiriman', 'malaysia', 'bsikemaren', 'tidak', 'alhmdulillah', 'malam']","['kirim', 'malaysia', 'bsikemaren', 'tidak', 'alhmdulillah', 'malam']",-1,Negatif,0
"emang BSI sering x gangguan ... sy narik uang g kluar uang nya tp transaksi berhasil,","emang bsi sering x gangguan ... sy narik uang g kluar uang nya tp transaksi berhasil,",emang bsi sering x gangguan  sy narik uang g kluar uang nya tp transaksi berhasil,memang bsi sering kali masalah saya tarik uang tidak keluar uang ya otp transaksi berhasil,"['memang', 'bsi', 'sering', 'kali', 'masalah', 'saya', 'tarik', 'uang', 'tidak', 'keluar', 'uang', 'ya', 'otp', 'transaksi', 'berhasil']","['kali', 'masalah', 'tarik', 'uang', 'tidak', 'uang', 'otp', 'transaksi', 'berhasil']","['kali', 'masalah', 'tarik', 'uang', 'tidak', 'uang', 'otp', 'transaksi', 'hasil']",1,Positif,1
sya sdh 2 kali dr pagi transaksi dr BSI Aman2 aja...alhmdulillah...klo lg gangguan itu hal biasa ..positif tingking aja pak,sya sdh 2 kali dr pagi transaksi dr bsi aman2 aja...alhmdulillah...klo lg gangguan itu hal biasa ..positif tingking aja pak,sya sdh  kali dr pagi transaksi dr bsi aman ajaalhmdulillahklo lg gangguan itu hal biasa positif tingking aja pak,saya sedih kali dari pagi transaksi dari bsi aman ajaalhmdulillahklo masuk masalah itu hal biasa positif tingking saja pak,"['saya', 'sedih', 'kali', 'dari', 'pagi', 'transaksi', 'dari', 'bsi', 'aman', 'ajaalhmdulillahklo', 'masuk', 'masalah', 'itu', 'hal', 'biasa', 'positif', 'tingking', 'saja', 'pak']","['sedih', 'kali', 'pagi', 'transaksi', 'aman', 'ajaalhmdulillahklo', 'masuk', 'masalah', 'positif', 'tingking']","['sedih', 'kali', 'pagi', 'transaksi', 'aman', 'ajaalhmdulillahklo', 'masuk', 'masalah', 'positif', 'tingking']",-1,Negatif,0
